Timestamp,Bid Ask Ratio
2024-10-29 17:50:47,0.58
2024-10-29 18:00:49,0.67
2024-10-29 18:10:51,0.73
2024-10-29 18:20:53,0.69
2024-10-29 18:30:55,0.65
2024-10-29 18:40:57,0.63
2024-10-29 18:50:59,0.43
2024-10-29 19:01:01,0.41
2024-10-29 19:11:03,0.33
2024-10-29 19:21:05,0.32
2024-10-29 19:31:07,0.33
2024-10-29 19:41:09,0.35
2024-10-29 19:51:11,0.56
2024-10-29 20:01:13,0.19
2024-10-29 20:11:15,0.34
2024-10-29 20:21:17,0.27
2024-10-29 20:31:19,0.57
2024-10-29 20:41:21,0.81
2024-10-29 20:51:23,1.02
2024-10-29 21:01:25,0.89
2024-10-29 21:11:28,0.95
2024-10-29 21:21:30,0.53
2024-10-29 21:31:32,0.91
2024-10-29 21:41:34,1.06
2024-10-29 21:51:36,0.98
2024-10-29 22:01:38,0.98
2024-10-29 22:11:40,0.49
2024-10-29 22:21:42,0.34
2024-10-29 22:31:45,0.28
2024-10-29 22:41:47,0.33
2024-10-29 22:51:50,0.33
2024-10-29 23:01:52,0.33
2024-10-29 23:11:54,0.42
2024-10-29 23:21:55,0.38
2024-10-29 23:31:57,0.43
2024-10-29 23:41:59,0.29
2024-10-29 23:52:01,0.24
2024-10-30 00:02:03,0.21
2024-10-30 00:12:05,0.24
2024-10-30 00:22:08,0.24
2024-10-30 00:32:11,0.27
2024-10-30 00:42:12,0.26
2024-10-30 00:52:14,0.24
2024-10-30 01:02:16,0.23
2024-10-30 01:12:18,0.25
2024-10-30 01:22:20,0.27
2024-10-30 01:32:22,0.35
2024-10-30 01:42:24,0.32
2024-10-30 01:52:26,0.38
2024-10-30 02:02:28,1.01
2024-10-30 02:12:30,0.97
2024-10-30 02:22:32,1.08
2024-10-30 02:32:34,1.12
2024-10-30 02:42:36,0.99
2024-10-30 02:52:39,1.17
2024-10-30 03:02:41,0.46
2024-10-30 03:12:43,0.35
2024-10-30 03:22:45,0.33
2024-10-30 03:32:47,0.39
2024-10-30 03:42:49,0.35
2024-10-30 03:52:51,0.33
2024-10-30 04:02:53,0.4
2024-10-30 04:12:55,0.41
2024-10-30 04:22:57,0.39
2024-10-30 04:32:59,0.41
2024-10-30 04:43:00,0.46
2024-10-30 04:53:02,0.39
2024-10-30 05:03:05,0.68
2024-10-30 05:13:07,0.73
2024-10-30 05:23:09,0.82
2024-10-30 05:33:11,0.73
2024-10-30 05:43:13,0.8
